N,theta,body_reduce_ms,build_tree_ms,compute_cmass_ms,compute_forces_ms,apply_forces_ms,barnes_hut_ms
5000,0.25,0.02032,0.038496,0.058912,2.06397,0.004608,2
5000,0.5,0.006656,0.027136,0.0528,0.727008,0.005888,1
5000,1,0.006144,0.034912,0.049312,0.268288,0.006144,0
10000,0.25,0.008192,0.051232,0.056832,4.98131,0.008192,5
10000,0.5,0.006368,0.048256,0.052192,1.63571,0.008192,2
10000,1,0.006368,0.04848,0.05808,0.497664,0.00944,1
25000,0.25,0.008192,0.0744,0.076704,13.0886,0.014336,14
25000,0.5,0.007808,0.063968,0.07664,3.9631,0.013984,5
25000,1,0.008192,0.062176,0.075328,1.21178,0.01408,2
50000,0.25,0.009312,0.096608,0.105152,30.0276,0.026688,32
50000,0.5,0.008192,0.09888,0.115232,8.26285,0.024576,10
50000,1,0.009408,0.095744,0.10384,2.34496,0.024,4
500000,0.25,0.022848,0.882752,1.69859,479.764,0.282816,504
500000,0.5,0.023936,0.8808,1.69696,111.347,0.280576,133
500000,1,0.024416,0.850432,1.69306,29.52,0.278336,52
1000000,0.25,0.040736,1.99251,3.63053,1106.76,0.571904,1154
1000000,0.5,0.039008,1.9561,3.6224,247.218,0.563904,290
1000000,1,0.039296,1.9793,3.60637,62.5585,0.56336,106
